,features,corr,lasso,k_best,rf-importance,rfecv,corr_rank,lasso_rank,k_best_rank,rf-importance_rank,rfecv_rank,voting
103,c.202,0.012200892398340619,0.0,2.3472337476920444,0.0003245592726513222,,0,0,0,0,0,0
104,month_9,0.01164271012286322,0.0,1.2101677250523435,0.0005047740722969916,,0,0,0,0,0,0
105,c.204,0.08291939039989996,0.0,29.146268235483813,9.237902832463301e-05,,0,0,0,0,0,0
106,c.230,0.05472842156949946,0.0,10.570683034087072,0.00012199228352649148,,0,0,0,0,0,0
107,c.229,0.1055780440156726,0.0,40.34932544932372,0.0006832777974628122,,0,0,0,0,0,0
108,c.232,0.10025384967435896,0.0,43.63196536432774,0.00030295326854023954,,0,0,0,0,0,0
109,month_3,0.026400347223542786,0.0,3.0138998287031367,0.00059294962133709,,0,0,0,0,0,0
110,c.268,0.12546316063959262,0.0,70.21487959780748,0.0008388057335692044,,0,0,0,0,0,0
111,c.249,0.051709216380235255,0.0,9.10673933719182,0.0004182769124895474,,0,0,0,0,0,0
112,c.250,0.031664251001495544,3.1848237492610103e-06,3.069050985481709,0.0009229547017029558,,0,0,0,0,0,0
113,c.271,0.07406355213018999,0.0,30.162747766847016,0.000869173182124821,,0,0,0,0,0,0
114,c.251,0.02355913222754494,0.0,2.128621857986059,9.8822403816073e-06,,0,0,0,0,0,0
115,c.252,0.044615103910774896,0.0,7.885626145859086,3.325544388792407e-05,,0,0,0,0,0,0
116,c.253,0.027788552620690528,0.0,2.5411446045713553,2.8355439533489285e-05,,0,0,0,0,0,0
117,c.254,0.03627223389325569,0.0,25.46575548095088,0.00011067572415576059,,0,0,0,0,0,0
118,c.270,0.11003453818308909,0.0,102.84557059902488,0.0015760112366775252,,0,0,0,0,0,0
119,c.269,0.10263677967855019,0.0,48.32224767876103,0.0006226698617381945,,0,0,0,0,0,0
120,c.267,0.01657838632847207,0.0,6.507961512205085,0.0012758907877590878,,0,0,0,0,0,0
121,month_2,0.05922320341843681,0.0,16.259454214037504,0.001722497366159563,,0,0,0,0,0,0
122,c.256,0.09471396414962428,0.0,143.34821463729253,0.0005943774038825566,,0,0,0,0,0,0
123,c.257,0.0545181806097344,0.0,34.20229767567881,0.00011207445248067505,,0,0,0,0,0,0
124,c.258,0.006283836154602403,0.0,1.8884555886455565,1.0945946771665713e-05,,0,0,0,0,0,0
125,c.266,0.12328915187136487,0.0,129.74592115753063,0.0014890213979737105,,0,0,0,0,0,0
126,c.265,0.003868288839152014,0.0,0.19730898038473577,9.228851393526845e-06,,0,0,0,0,0,0
127,c.263,,0.0,,0.0,,0,0,0,0,0,0
128,c.262,,0.0,,0.0,,0,0,0,0,0,0
129,c.260,0.008772587689677572,0.0,1.545705028809712,0.00028183542439626105,,0,0,0,0,0,0
130,c.261,0.018513022409500486,0.0,10.820109367915121,4.609645972341037e-06,,0,0,0,0,0,0
131,c.248,0.003950691965125207,0.0,0.6247328184493901,1.4183340459999651e-05,,0,0,0,0,0,0
132,c.247,0.05011662600927751,0.0,9.473373772446998,0.0005469950158464526,,0,0,0,0,0,0
133,c.272,0.05265890961062382,0.0,16.421273484611543,0.0001858793887177151,,0,0,0,0,0,0
134,c.273,0.13521776770624316,0.0,84.49433416114312,0.0006854220871438719,,0,0,0,0,0,0
135,c.233,0.08899699882212679,0.0,38.58997711355764,0.00036750463936811243,,0,0,0,0,0,0
136,month_1,0.031510236783702975,0.0,10.026832675503933,0.0016670926096595798,,0,0,0,0,0,0
137,f.284,0.03965057862673018,0.0,39.343639293207815,0.0039458088277899055,,0,0,0,0,0,0
138,c.283,0.029229264643402753,0.0,4.881996997447368,0.00014006460865603962,,0,0,0,0,0,0
139,c.282,0.05438665151725254,0.0,38.879020995946306,0.0010617629178938353,,0,0,0,0,0,0
140,c.238,0.0022901869063621186,0.0,2.27376946022904,0.00020083598765327572,,0,0,0,0,0,0
141,c.239,0.0033899065536724783,0.0,2.3021512545449854,0.00026023154017011804,,0,0,0,0,0,0
142,c.240,0.07048971017672034,0.0,29.033993101599663,0.0006623365237241735,,0,0,0,0,0,0
143,c.241,0.04498245264351248,0.0,10.102127487281727,0.0005371948116805298,,0,0,0,0,0,0
144,c.242,0.034292432777448575,0.0,4.393806426661635,4.045700937098508e-05,,0,0,0,0,0,0
145,c.243,0.036055776496789024,0.0,5.570492562455729,0.0001657744003522207,,0,0,0,0,0,0
146,c.281,0.05244108239513849,0.0,13.800727752146189,0.00020901891070605587,,0,0,0,0,0,0
147,c.280,0.0864329872102693,0.0,43.95649333647378,0.0008933835113172218,,0,0,0,0,0,0
