,pov6
15955,1
6692,1
5063,2
5722,1
9353,2
5744,1
8007,1
5174,1
18125,2
6737,1
765,1
7685,1
17774,1
6295,1
17492,1
4528,1
17854,2
16615,1
1650,1
2226,1
17344,2
17684,2
7004,1
18202,1
232,1
12503,3
3322,2
6898,1
7954,1
3313,1
8179,3
9074,1
8983,1
13373,1
17760,1
13577,1
6505,1
5438,1
12877,6
16941,1
15905,2
2307,1
843,1
11003,1
18089,1
1644,1
1076,1
1521,1
14070,1
17270,1
949,1
1561,2
2822,3
2697,2
16663,1
17853,1
1471,1
15712,1
3170,1
1411,1
12976,1
2163,1
16195,1
3943,1
17687,1
288,1
15090,1
12565,2
6980,2
16096,2
6240,1
6337,1
15204,1
7198,1
4829,1
17141,1
6817,1
16128,2
5030,1
4527,1
14919,1
13066,1
5914,1
2770,2
11907,1
787,1
3738,2
18305,1
11592,1
3869,1
10356,1
9756,2
15545,1
3534,1
1932,6
5452,1
14526,1
15759,2
4374,1
11423,2
14318,6
12641,1
168,1
1428,1
15077,1
17020,1
17287,2
6290,1
6163,1
10214,1
9112,1
5897,1
11480,1
1101,1
891,1
17414,1
9712,1
667,1
12287,1
7184,1
7018,1
11202,1
2649,1
11156,1
15353,1
576,1
892,1
1682,1
3299,1
11078,1
8410,1
9562,1
14676,1
14039,1
13429,1
12167,1
7131,2
17262,1
5196,1
516,2
14979,1
3087,1
17676,1
17970,1
17393,1
16145,2
6856,1
11039,1
1581,1
11180,1
12738,1
16838,2
839,2
16594,1
720,1
12009,1
5134,1
15941,2
9730,1
6895,1
12925,1
15713,1
8852,1
7887,2
7342,1
6579,1
13673,3
2828,1
4465,1
14465,2
6649,1
5988,2
8630,2
6568,2
2510,1
16801,1
4494,2
785,4
8132,1
17580,2
4018,1
10801,1
3263,1
17343,1
8108,1
15514,1
10126,1
5455,1
5110,1
15060,2
954,1
5410,1
16831,2
4191,2
16036,1
1831,1
3705,2
11050,2
13479,1
5660,2
15643,2
11037,1
3362,1
2170,1
5053,2
6405,1
1274,2
9358,4
3495,1
2710,2
5357,1
17370,1
17325,1
14726,1
11441,2
3680,1
11572,2
5420,2
2316,1
17923,1
16541,1
9854,5
11603,1
14105,1
10366,1
11173,1
4646,1
15572,1
11900,1
11835,1
8089,1
17119,1
3849,1
7813,5
12954,1
1902,1
603,4
15335,3
17227,1
11159,1
11722,1
6094,2
16924,6
16211,1
9256,1
10144,2
14610,1
15479,1
651,1
5341,1
4524,1
16745,1
4553,1
6339,1
13288,1
15415,1
10271,1
1865,5
3426,4
8419,1
10319,1
12447,1
5021,1
11561,1
3911,1
15481,1
16212,1
1862,1
16812,1
15946,1
9565,1
18324,1
2385,2
899,1
8614,1
14181,1
1520,1
15332,1
7604,1
7876,1
16090,1
12547,2
363,1
8936,1
4354,1
13545,1
1525,1
2509,1
13794,1
16682,1
3971,2
14587,1
6506,1
18079,1
841,2
11314,1
8492,2
18320,1
17666,1
6387,1
15341,2
1426,3
67,1
14838,2
9355,1
6814,1
12961,1
3445,1
17412,1
7705,1
3452,1
16825,2
962,4
2137,1
10665,1
6063,1
17826,1
13672,1
3489,2
17762,1
9838,1
8251,6
9682,1
1130,4
14798,2
2634,2
1260,1
10128,1
762,1
13895,1
17463,3
18152,5
15444,1
11528,1
10092,2
15818,1
15880,1
17665,1
8802,1
14887,2
15282,1
14041,1
5430,1
17491,1
14953,1
18037,1
13470,1
7314,1
1746,1
5799,1
14804,1
12525,1
11648,1
2712,1
5153,1
1796,2
6976,1
13370,1
9992,2
4746,1
1224,1
9026,1
7436,1
7622,1
1161,2
3427,1
6437,2
15750,1
12871,1
8814,1
3462,1
13032,1
4795,3
1303,2
3657,2
9948,1
7217,1
15219,1
4367,1
2193,2
6357,1
8455,2
6664,2
17162,2
49,1
4906,1
4001,1
2058,1
9742,1
676,1
14265,1
12412,2
3873,1
7861,1
895,1
13130,1
15414,1
6324,1
1421,1
2556,1
3739,1
12460,6
7290,1
16737,1
13414,1
12764,1
14618,1
5384,1
2718,1
6902,2
16,1
18350,1
1994,1
8527,1
4489,1
12071,1
7045,1
11487,1
1904,4
9848,2
15800,1
3430,1
16106,2
8551,1
5597,1
13927,1
10636,1
524,1
15119,1
5764,1
725,1
2340,1
5432,1
8177,1
12373,2
11154,1
6307,1
13529,1
11541,1
5557,1
1003,1
13739,1
11066,3
14527,1
10377,1
4541,1
16591,1
13650,1
6935,2
4360,1
11285,2
10233,2
7676,2
3862,1
9947,1
13832,1
3819,1
3081,1
17919,2
394,1
6001,1
6751,1
11300,1
10201,1
13238,1
3713,1
16234,1
1786,1
9499,1
11286,1
2862,1
13700,1
14788,1
12695,1
9755,6
14926,1
16044,2
15391,3
14745,1
9544,1
451,1
16613,1
10498,1
2962,5
8078,6
10669,1
6390,1
11203,3
14056,1
4449,1
8138,1
12763,2
11591,1
4936,1
11267,1
10358,1
12868,2
2159,1
11924,1
14012,1
5927,1
9944,2
6434,2
17510,1
6258,1
11585,1
4410,1
4271,2
12578,1
10029,1
10530,1
6197,1
3895,1
16758,1
8051,1
17120,2
11335,1
7061,1
230,1
14954,1
4467,1
7564,1
1346,1
1460,2
7473,1
11013,2
12840,1
8742,1
3695,1
7425,2
17300,1
2199,2
7917,2
12121,1
4070,1
5466,1
10999,6
