,features,corr,k_best,lasso,rf-importance,dt-importance,corr_rank,k_best_rank,lasso_rank,rf-importance_rank,dt-importance_rank,voting
20,c.231,0.26142403240149853,318.49978309785917,0.0,0.004558222749856479,0.0003459205537191244,1,1,0,0,0,2
21,month,0.04456069410472554,13.341598700583,0.0,0.010374358841839413,0.014726016854253178,0,0,0,1,1,2
22,c.235,0.19831772257628927,165.35134455220995,0.0,,,1,1,0,0,0,2
23,c.236,0.2722813946695126,356.197533699099,0.0,0.006435357662629283,,1,1,0,0,0,2
24,c.245,0.20546789160147347,191.70212973690204,0.0,,,1,1,0,0,0,2
25,c.246,0.32330806191508793,533.4971173457639,0.0,0.007896533266315309,0.00027812883021987114,1,1,0,0,0,2
26,c.259,0.16075743866443845,610.2386627454975,0.0,,,1,1,0,0,0,2
27,c.47,0.04098842202234102,20.880081248053504,0.0,0.018103226451921216,0.006078480860873703,0,0,0,1,1,2
28,c.58,0.013961217677288978,6.474705425029944,0.0,0.008819767423421686,0.005191816495564369,0,0,0,1,1,2
29,c.59,0.013961217677288978,6.474705425029944,0.0,0.008974723610589229,0.008176223242455078,0,0,0,1,1,2
30,c.66,0.06017104328359773,66.21524846458611,0.0,0.009515058688743937,0.00428243027864785,0,0,0,1,1,2
31,c.75,0.1229959080157242,362.54447986888636,0.0,0.017233023393823044,,0,1,0,1,0,2
32,c.76,0.1264456134054899,368.8685738839031,0.0,0.0169822500385061,0.001565967811685048,0,1,0,1,0,2
33,a.186,0.0568711265610052,9.241804185073871,0.0,0.009245847277253038,0.00380328304253825,0,0,0,1,1,2
34,c.237,0.18583342114432977,155.54142717531565,0.0,,,1,1,0,0,0,2
35,c.234,0.2073819406658746,199.0805839973628,0.0,0.005281684686447261,0.002534243325201963,1,1,0,0,0,2
36,totshopping.rep,0.023802372440246678,3.4606728145452053,0.0,0.012157993797417967,0.00707284876599024,0,0,0,1,1,2
37,b.15,0.025705026027743216,46.866445783430684,0.0,0.009091540231398795,0.005121141288325494,0,0,0,1,1,2
38,b.23,0.007442822568113734,0.725275065705729,0.0,0.011874272938668974,0.004537224416192437,0,0,0,1,1,2
39,a.124,0.012636881389729212,3.2009443273990827,0.0,0.011345330668805872,0.002926407803678555,0,0,0,1,0,1
40,t7.178,0.17558385075308647,119.18484897186144,0.0,,0.0013836822148764983,1,0,0,0,0,1
41,c.84,0.13426862495730552,65.87462794694504,0.0,,0.0032707928265470164,0,0,0,0,1,1
42,c.83,0.03426577153680819,14.337059874531283,0.0,0.004461930631820407,0.0031362624578865216,0,0,0,0,1,1
43,var0,0.06363271795244548,49.501612496532076,0.0,0.010710340097624161,0.0024281249343676248,0,0,0,1,0,1
44,c.197,0.034729293108424174,5.0190515395568,0.0,,0.0031186328767821,0,0,0,0,1,1
45,b.12,0.14936626245115076,61.59227735118614,0.0,0.004469023056586881,0.0009084718976406332,1,0,0,0,0,1
46,c.201,0.012305850726920102,134.01261756684036,0.0,0.007900530451316232,0.017164686043072655,0,0,0,0,1,1
47,c.203,0.07971465770327436,164.363227932944,0.0,,,0,1,0,0,0,1
48,pp.129,0.03887295730912321,6.357327154134502,0.0,,0.005581789541895201,0,0,0,0,1,1
49,c.65,0.05909679797107488,63.8333342212244,0.0,0.008751957762114643,,0,0,0,1,0,1
50,b.19,0.07582012672093542,101.84378253877549,0.0,0.007980637098658488,0.004688301902842581,0,0,0,0,1,1
51,c.57,0.06066651362030404,14.920312686485364,0.0,0.009196435711413061,0.0015702497467833408,0,0,0,1,0,1
52,c.50,0.09416649331462632,74.65853946462556,0.0,0.008232250484905074,0.003927542582714555,0,0,0,0,1,1
53,b.17,0.024465604189432298,45.63899508566187,0.0,0.009317344002045634,0.0015315576942913772,0,0,0,1,0,1
54,c.30,0.14881475609313438,103.46665339430723,0.0,,0.0,1,0,0,0,0,1
55,c.276,0.16276773591498708,125.80663863075993,0.0,,,1,0,0,0,0,1
56,c.274,0.13522941362895127,75.23167304524956,0.0,,0.00024417921438997026,1,0,0,0,0,1
57,var5,0.029137510007917998,5.091987102604405,0.0,0.008171015358887283,0.003053068360291283,0,0,0,0,1,1
58,c.73,0.1108647927965563,244.05304793067472,0.0,,,0,1,0,0,0,1
59,c.165,0.17558385075308647,119.18484897186144,0.0,,0.0,1,0,0,0,0,1
60,f.103,0.024933634521998385,37.39563082545077,0.0,0.0034715126121031515,0.0034471164259517583,0,0,0,0,1,1
61,a.4,0.039626436263282216,5.673677721386832,0.0,0.007624619176668588,0.006339079283529709,0,0,0,0,1,1
62,pp.130,0.10602808057128536,50.89739651024616,0.0,,0.00041675529318493276,0,0,0,0,0,0
63,c.283,0.029229264643402753,4.881996997447368,0.0,,,0,0,0,0,0,0
64,c.278,0.04407655805562025,11.228705801908415,0.0,,0.00046436726970794075,0,0,0,0,0,0
65,t7.156,0.019117935651266897,1.8851211344552425,0.0,,0.0,0,0,0,0,0,0
66,c.279,0.04121748896346666,20.084403128286645,0.0,,,0,0,0,0,0,0
67,c.280,0.0864329872102693,43.95649333647378,0.0,,0.0011911750164526939,0,0,0,0,0,0
68,c.281,0.05244108239513849,13.800727752146189,0.0,,,0,0,0,0,0,0
69,c.282,0.05438665151725254,38.879020995946306,0.0,,0.0006142178578698515,0,0,0,0,0,0
70,b.18,0.025937157430945584,49.094765202895026,0.0,0.008516749103774906,0.00041859293895423486,0,0,0,0,0,0
71,t7.155,0.040804462836202565,17.530375938255112,0.0,,0.000502252253865298,0,0,0,0,0,0
72,c.40,0.030583281413889666,3.372689731378697,0.0,,,0,0,0,0,0,0
73,c.41,0.00745345750602232,0.21287185119989865,0.0,,,0,0,0,0,0,0
74,c.43,0.02646224685636548,2.506297877364487,0.0,,,0,0,0,0,0,0
75,c.44,0.045020398041515,18.011997490677928,0.0,,,0,0,0,0,0,0
76,t7.152,0.020653210604958172,11.13989432948167,0.0,,0.0008953237860965578,0,0,0,0,0,0
77,c.277,0.10639936248039154,43.6018419614384,0.0,,,0,0,0,0,0,0
